husnegt,code,talbar,mongol_ner,esri_torol,tailbar
cashflow,CF017,ajliin_ner,Ажлын нэр,String,Зөвхөн ГЭРЭЭ мөрөнд; урт 500
cashflow,CF018,tosovt_ortog,Төсөвт өртөг,Double,Зөвхөн ГЭРЭЭ мөрөнд
cashflow,CF019,dun_tailbar,Дүнгийн тайлбар,String,Зөвхөн ГЭРЭЭ мөрөнд; урт 500
cashflow,CF020,ehleh_ognoo,Эхлэх огноо,DateOnly,Зөвхөн ГЭРЭЭ мөрөнд
cashflow,CF021,duusah_ognoo,Дуусах огноо,DateOnly,Зөвхөн ГЭРЭЭ мөрөнд
cashflow,CF022,zahiramj_ognoo,Захирамжийн огноо,DateOnly,Зөвхөн ГЭРЭЭ мөрөнд
cashflow,CF023,zahiramj_dugaar,Захирамжийн дугаар,String,Зөвхөн кирилл (А/1309); латин A хэрэглэхгүй
cashflow,CF024,zahiramj_dun,Захирамжийн дүн,Double,Зөвхөн ГЭРЭЭ мөрөнд
cashflow,CF025,eh_unet_tsaas,Эх үүсвэр: үнэт цаас,Double,Гэрээний нийт эх үүсвэр (ГЭРЭЭ мөрөнд)
cashflow,CF026,eh_tosliin_orlogo,Эх үүсвэр: төслийн орлого,Double,Гэрээний нийт эх үүсвэр (ГЭРЭЭ мөрөнд)
cashflow,CF027,eh_niislel_tosov,Эх үүсвэр: нийслэлийн төсөв,Double,Гэрээний нийт эх үүсвэр (ГЭРЭЭ мөрөнд)
cashflow,CF028,eh_nzd_nooc,Эх үүсвэр: НЗД-ын нөөц,Double,Гэрээний нийт эх үүсвэр (ГЭРЭЭ мөрөнд)
cashflow,CF029,zahialagch_hynalt_baiguullaga,Захиалагчийн хяналтын байгууллага,String,Зөвхөн ГЭРЭЭ мөрөнд
cashflow,CF030,geree_ognoo,Гэрээний огноо,DateOnly,Зөвхөн ГЭРЭЭ мөрөнд
cashflow,CF031,geree_dugaar,Гэрээний дугаар,String,Зөвхөн ГЭРЭЭ мөрөнд; дугаарт зөвхөн кирилл үсэг
cashflow,CF032,geree_tailbar,Гэрээний тайлбар,String,Зөвхөн ГЭРЭЭ мөрөнд; урт 1000
cashflow,CF033,geree_erh_dun,Гэрээний эрхийн дүн,Double,Зөвхөн ГЭРЭЭ мөрөнд
cashflow,CF034,ur_batalgaa_dun,Урьдчилгааны баталгааны дүн,Double,Зөвхөн ГЭРЭЭ мөрөнд
cashflow,CF035,ur_hynalt_suutgal,Урьдчилгааны хяналтын суутгал,Double,Зөвхөн ГЭРЭЭ мөрөнд
cashflow,CF036,nemelt_dun,Нэмэлт дүн,Double,Зөвхөн ГЭРЭЭ мөрөнд
ipc,IPC01,ipc_id,Актын код,String,Түлхүүр I01..I65; давтагдашгүй
ipc,IPC02,geree_id,Гэрээний код,String,cashflow.geree_id рүү холбоос; хэд хэдэн гэрээтэй байгууллагын аль гэрээнийх нь тодорхойгүй актад хоосон
ipc,IPC03,bagts,Багц,String,Үндсэн багц — cashflow-тай ижил дүрэм
ipc,IPC04,ded_bagts,Дэд багц,String,Дэд багц — cashflow-тай ижил дүрэм
ipc,IPC05,guitsetgegch,Гүйцэтгэгч,String,Гэрээтэй бол cashflow мастертай үсэг бүрээр тэнцүү
ipc,IPC06,torol,Актын төрөл,String,"УРЬДЧИЛГАА / ГҮЙЦЭТГЭЛ — coded value domain тавих (гэрээний үнэ энд БИШ, cashflow-д)"
ipc,IPC07,dugaar,Актын дугаар,SmallInteger,"1,2,3…; дэлгэцийн код = УРЬДЧИЛГАА→APC-n, ГҮЙЦЭТГЭЛ→IPC-n"
ipc,IPC08,status,Актын төлөв,String,БАТЛАГДСАН / ХЯНАГДАЖ БАЙНА — coded value domain тавих
ipc,IPC09,hamrah_ehleh,Хамрах хугацаа: эхлэх,DateOnly,
ipc,IPC10,hamrah_duusah,Хамрах хугацаа: дуусах,DateOnly,
ipc,IPC11,husel_bichig_dugaar,Хүсэлтийн бичгийн дугаар,String,
ipc,IPC12,husel_bichig_ognoo,Хүсэлтийн бичгийн огноо,DateOnly,
ipc,IPC13,too_hemjee_dun,Тоо хэмжээний дүн,Double,
ipc,IPC14,m812_ognoo,М-8/12 огноо,DateOnly,Шат дууссан = огноо+дүн бөглөгдсөн
ipc,IPC15,m812_dun,М-8/12 дүн,Double,
ipc,IPC16,m7_ognoo,М-7 огноо,DateOnly,
ipc,IPC17,m7_dun,М-7 дүн,Double,Албан ёсны олгох дүн
ipc,IPC18,guitsetgel_dun,Гүйцэтгэлийн дүн,Double,Актын нийт дүн
ipc,IPC19,zahialagch_hynalt_suutgal,Захиалагчийн хяналтын суутгал,Double,
ipc,IPC20,ur_ergen_tololt,Урьдчилгааны эргэн төлөлт,Double,
ipc,IPC21,baritsaa,Барьцаа,Double,
ipc,IPC22,zohiogch_hynalt,Зохиогчийн хяналт,Double,
ipc,IPC23,hmh_bichig_dugaar,ХМХ бичгийн дугаар,String,
ipc,IPC24,hmh_bichig_ognoo,ХМХ бичгийн огноо,DateOnly,
ipc,IPC25,toloh_yostoi_ognoo,Төлөх ёстой огноо,DateOnly,
ipc,IPC26,nhog_ognoo,НХОГ огноо,DateOnly,
ipc,IPC27,nhog_dun,НХОГ дүн,Double,
ipc,IPC28,guilgee1_ognoo,Гүйлгээ 1 огноо,DateOnly,
ipc,IPC29,guilgee1_dun,Гүйлгээ 1 дүн,Double,"⚠️ 10 актад олгох дүнгээс ИХ — суутгал хасахаас өмнөх бүтэн дүнг бичсэн байна (I02,I03,I06,I15,I16,I21,I27,I28,I29,I30). Бодитоор шилжүүлсэн дүнг бичнэ."
ipc,IPC30,guilgee2_ognoo,Гүйлгээ 2 огноо,DateOnly,Хоёр дахь гүйлгээ — огноог хугацааны дарааллаар нь дүүргэнэ (цоорхой үлдээхгүй)
ipc,IPC31,guilgee2_dun,Гүйлгээ 2 дүн,Double,
ipc,IPC32,guilgee3_ognoo,Гүйлгээ 3 огноо,DateOnly,
ipc,IPC33,guilgee3_dun,Гүйлгээ 3 дүн,Double,
